Name,Food Source,Sample Size ,Biological Sample , Analytic Procedure  ,Literature name 
 (epi)catechin methylgallate , green tea , - , - , - , ID2655 
 (epi)catechin quinone , green tea , - , - , MS/MS , ID2655 
 (Epi)catechin sulfates ," Apple, Dealcoholized Red Wine, Red Wine ", - , - , - , ID927 
 (Epi)catechin sulfates , wine , - ," urine, plasma "," UPLC-MS/MS, GC-MS ", PMC10673339 
 Methyl(epi)catechin sulfates , wine , - , urine , UPLC-ESI-MS/MS , PMC10673339 
 (epi)catechin-ethyl dimer , - , - , - , MS/MS , ID2655 
 (epi)catechin-O-acetate , - , - , - , - , ID2655 
 (epi)catechin-O-dihexosyl-malonate , Green tea , - , - , HPLC–MS/MS , ID2655 
 (epi)catechin-O-dimethylgallate , Green tea , - , - , LC-MS/MS , ID2655 
 (epi)catechin-O-hexoside , Green tea , - , - , - , ID2655 
 (epi)catechin-O-hexosyl-malonate , - , - , - , HPLC–MS/MS , ID2655 
 (epi)catechins , dealcoholized red wine , - , - , - , ID4109 
 (epi)catechin glucuronide , dealcoholized red wine , - , - , - , ID4109 
 (epi)catechin sulfate , dealcoholized red wine , - , - , - , ID4109 
 methyl(epi)catechin glucuronide , dealcoholized red wine , - , - , - , ID4109 
 methyl(epi)catechin sulfate , dealcoholized red wine , - , - , - , ID4109 
 (Epi)catechin ," Wine, cocoa, coffee, tea ", - , - , - , ID2022 
 (epi)catechin , green tea , - , - , LC-MS/MS , ID2655 
 (epi)catechin quinone , green tea , - , - , LC-MS/MS , ID2655 
 (epi)catechin-O-dimethylgallate , green tea , - , - , LC-MS/MS , ID2655 
 (epi)catechin methylgallate , green tea , - , - , LC-MS/MS , ID2655 
 (epi)catechin-O-hexoside , green tea , - , - , LC-MS/MS , ID2655 
 (epi)catechin-acetate , green tea , - , - , LC-MS/MS , ID2655 
 (epi)catechin-ethyl dimer , green tea , - , - , LC-MS/MS , ID2655 
 (epi)catechin-O-dihexosyl-malonate , green tea , - , - , LC-MS/MS , ID2655 
 (epi)catechin-O-hexosyl-malonate , green tea , - , - , LC-MS/MS , ID2655 
 (Epi)catechin , - , - , Urine , - , ID2882 
 (epi)catechin ," apples, berries, beans, grapes ", - , - , - , ID466 
 (Epi)catechin , Wine , - ," urine, plasma, serum "," UPLC-ESI-MS/MS, HPLC-ESA, GC-MS, UPLC-QTOF-MS ", PMC10673339 
 (Epi)catechin glucuronides , Wine , - , urine ," UPLC-MS/MS, GC-MS ", PMC10673339 
 (Epi)catechin sulfates , Wine , - ," urine, plasma "," UPLC-MS/MS, GC-MS ", PMC10673339 
 Methyl catechin , Wine , - ," urine, plasma ", GC-MS , PMC10673339 
 Methyl(epi)catechin glucuronides , Wine , - , urine ," UPLC-ESI-MS/MS, UPLC-MS/MS, GC-MS ", PMC10673339 
 Methyl(epi)catechin sulfates , Wine , - , urine , UPLC-ESI-MS/MS , PMC10673339 
 (Epi)gallocatechin , Hazelnut , - , - , - , ID3750 
 (iso)tiglylcarnitine or 3-methylcrotonylcarnitine , High-protein (HP) hypercaloric high-fat diet , - , - , - , PMC8066704 
 (iso)valerlglycine ," Cruciferous and soya; Cruciferous vegetables, citrus and soya ", 12 subjects; 8 subjects , Fasting urine , FIE-FTICR-MS; LTQ-FT LC-MS/MS , ID917 
 (n-3) highly unsaturated fatty acid , marine foods , - , Plasma , - , ID277 
 (n-3):(n-6) fatty acid ratio , - ," 44/257, 69/255, 84/256, 58/257 ", RBC (Red Blood Cells) , - , ID102 
 (n-6) polyunsaturated fat , - , - , Plasma , - , ID380 
 (n-7) fatty acid saturation index , - ," 28/256 (Q1), 84/256 (Q2), 83/256 (Q3), 60/257 (Q4) ", RBC , - , ID102 
 (n-9) fatty acid saturation index , - ," Cases/controls, n/n: 18/257, 32/255, 69/257, 136/256 ", - , - , ID102 
 (N-acetyl-)S-methyl-L-cysteine sulfoxide , cruciferous vegetables , - , - , - , ID1154 
 (phospho)-choline , beef , - , Urine (24hr) , - , ID1001 
" (R)-2,3-dihydro-3,5-dihydroxy-2-oxo-3-indoleacetic acid ", wine , - , urine , UPLC-QTOF-MS , PMC10673339 
 (R)-pantoate , polished rice (d10 mutants) , - , - , - , PMC10733476 
 (R)-pantothenic acid ," polished rice (d10 mutants, OsSPL3-overexpressing plants) ", - , - , - , PMC10733476 
 (R)-thiazoline , - , - , - , - , PMC10733476 
" 3-(3,4-dihydroxyphenyl)-2-((3-(3,4-dihydroxyphenyl)acryloyl)oxy)propanoic acid ", Chia seeds , - , - , - , PMC6609671 
" (Z)-2-Methyl-2-butene-1,4-diol 4-O-beta-D-Glucopyranoside ", - , - , - , - , PMC10808786 
 (Z)-3-(1-Formyl-1-propenyl)pentanedioic acid , Genipap juice , - , Urine , - , ID5545 
 (Z)-N-Feruloyl-5-hydroxyanthranilic acid , wine , - , urine , UPLC-QTOF-MS , PMC10673339 
" (Z,E)-abscisic acid ", Acacia honey , - , - , NMR , ID5323 
 -Glutamyl-beta-cyanoalanine , - , - , - , UHPLC-ESI/QTOF-MS , ID3546 
" 1,1,1,3,3,3-hexachloro-2-propanone ", herbs and spices , - , - , - , PMC6357669 
" 1,18-Octadecanediol ", - , - , - , - , PMC9480494 
" 1,2'-Disinapoyl-2-feruloylgentiobiose ", - , - , - , OPLS-DA , ID3812 
" 1,2,2'-Triferuloylgentiobiose ", gluten-free flours , - , - , OPLS-DA model , ID3265 
" 1,2,2'-Triferuloylgentiobiose ", - , - , - , - , ID3427 
" 1,2,2'-Triferuloylgentiobiose ", - , - , - , - , ID3467 
" 1,2,2'-Triferuloylgentiobiose "," Purple radish, Red cabbage ", - , - , - , ID3535 
" 1,2,3,4-tetrahydro-beta-carboline-3-carboxylic acid "," cod protein, cocoa, fruit juices, fermented foods ", - ," Plasma, Urine ", metabolomics analysis , PMC6937850c 
" 1,2,3,4-tetrahydro-beta-carboline-3-carboxylic acid ", Cod , - , Plasma , - , ID683 
" 1,2,3-benzenetriol sulfate ", - , - , Plasma , - , PMC6262854b 
" 1,2,3-benzenetriol sulfate ", Green tea , - , - , - , PMC8072637 
" 1,2,3-benzenetriol sulfate ", - , - , - , - , PMC5621665d 
" 1,2,3-Butanetriol ", Whey , - , - , - , ID2994 
" 1,2,3-propanetricarboxylic acid ", - , - , - ," LC–MS, GC–MS ", PMC8465241 
" 1,2,3-trihydroxybenzene ", Mixed red wine/grape juice extracts , 6 subjects , 24 h urine ," NMR, GC-TOF-MS ", ID917 
" 1,2,3-trihydroxybenzene ", - , - , - , - , PMC9343475 
" 1,2,4-trimethylbenzene ", French fries , - , - , - , ID904 
" 1,2,4-Tris(methylene)cyclohexane ", fruit , - , - , - , PMC11317665 
" 1,2,5-Pentanetriol ", M. importuna fruiting body , - , - , - , ID3802 
" 1,2-benzenedicarboxylic acid "," Red pepper, turmeric ", - , - , - , ID2311 
" 1,2-Benzenedicarboxylic acid ", - , - , - , - , ID3789 
" 1,2-Bis(4-hydroxyphenyl)-2-propanol ", PDO Grana Padano cheese , - , - , UHPLC-ESI/QTOF-MS , ID3546 
" 1,2-Diacylglycerols ", - , - , - , - , ID5042 
" 1,2-Diferuloylgentibiose ", GF pasta , - , - , PLS-DA , ID3740 
" 1,2-Diferuloylgentiobiose ", Moringa oleifera leaf extracts , - , - , VIP selection method , ID4027 
" 1,2-dihydroxybenzene ", - , - , - ," MS, RT ", PMC9343475 
" 1,2-Disinapoylgentiobiose ", EVOO , - , - , OPLS-DA , ID3812 
" 1,2-Disinapoylgentiobiose ", Buckwheat , - , - , - , ID3980 
" 1,2-Linoleoylphosphatidylcholine ", Salmon , - , Plasma , - , ID5561 
" 1,2-Propanediol ", - , - , - , - , ID3553 
" 1,2-propanediol ", - , - , Liver , NMR , PMC7143670 
" 1,2-propanediol ", insect protein extract , - , Liver , - , PMC7143670b 
" 1,25-dihydroxyvitamin D3 ", - , - , - , - , ID1646 
" 1,25-dihydroxy-vitamin D ", - , - , Serum , Radioimmunoassay kits (DiaSorin S.p.A.) , ID4375 
" 1,25-Dihydroxyvitamin D ", - , - , - , - , ID529 
" 1,25-dihydroxyvitamin D3 ", - , - , Serum , - , ID694 
" 1,25-dihydroxyvitamin D3 ", - , - , - , - , PMC10906669 
" 1,3 or 3,7-dimethyluric acid ", Coffee , - , - , - , ID917 
" 1,3,5-trihydroxybenzene ", - , - ," Plasma, Urine ", - , PMC9343475 
" 1,3,5-trimethylcyclohexane ", Beer , - , - , - , ID2084 
" 1,3,7-Trimethylurate ", Coffee , - , - , - , ID927 
" 1,3,7-trimethylurate ", Caffeinated coffee , - ," Serum, Urine ", - , ID958 
" 1,3,7-trimethylurate ", - , - , - , - , PMC5621665 
" 1,3,7-trimethyluric acid ", Cocoa , - , - , - , ID2022 
" 1,3,7-trimethyluric acid ", Coffee , - , - , - , ID900 
" 1,3,7-trimethylxanthine ", - , - ," Plasma, Urine ", - , ID2948 
" 1,3,7-trimethylxanthine ", - , - ," Plasma, Urine "," Untargeted metabolomics (RT, MS, MS/MS) ", PMC9343475 
" 1,3-, 1,7-, or 3,7-dimethyluric acid ", Cocoa , - , - , - , ID2022 
" 1,3-Diacylglycerols ", - , - , - , - , ID5042 
" 1,3-Dicaffeoylquinic acid ", - , - , - , - , ID3974 
" 1,3-dihydrophenyl-2-O-sulphate "," Black and green tea, Chamomile tea, Mixed nuts, Black tea ", - ," Urine (postprandial, fasting and 24 h, spot, 24 h) "," LC-qTOF, NMR ", ID917 
" 1,3-dihydroxybenzene ", - , - ," Plasma, Urine ", Untargeted metabolomics , PMC9343475 
" 1,3-dihydroxyphenyl-2-O-sulfate "," black tea, green tea ", - , - , - , ID1619 
" 1,3-dihydroxyphenyl-2-O-sulfate "," chamomile tea, black tea, green tea ", - , Urine , - , ID2103 
" 1,3-dihydroxyphenyl-2-O-sulphate ", Black tea , - , Urine , - , PMC2834771 
" 1,3-Dimethylurate ", Caffeinated coffee , - , Urine , - , ID1186 
" 1,3-Dimethylurate ", Coffee , - , - , - , ID927 
" 1,3-dimethylurate ", Caffeinated coffee , - ," Serum, Urine ", - , ID958 
" 1,3-dimethylurate ", - , - , - , - , PMC5621665d 
" 1,3-dimethylurate ", Coffee , - , - , - , PMC9003400 
" 1,3-dimethyluric acid ", Coffee , - , Urine , UPLC-qTOF-MS , ID900 
" 1,3-dimethyluric acid ", wine , - , plasma ," LC-MS/MS, UPLC-MS/MS ", PMC10673339 
" 1,3-Dimethyluric acid ", - , - , - , - , PMC11475530 
" 1,3-Dimethyluric acid ", - , - , - , - , PMC11475530b 
" 1,3-dimethyluric acid ", - , - ," Plasma, Urine ", - , PMC9343475 
" 1,3-dimethylxanthine ", - , - ," Plasma, Urine ", - , PMC9343475 
" 1,3-Diolein ", - , - , - , - , ID5042 
" 1,3-Dioxolane, 2-pentadecyl- ", ogi (Goun procedure) , - , - , - , ID3110 
" 1,3-Propanediamine ", - , - , - , - , PMC7569771 
" 1,4-benzoxazol-2-one ", wheat , - , Urine , PRM analysis , ID245 
" 1,4-dihydroxynonane mercapturic acid "," red meat, offal meat ", 8 male volunteers , Urine , - , PMC6937850c 
" 1,4-Naphtoquinone "," GF flour, cereals, pseudocereals, legumes ", - , - , VIP analysis (OPLS-DA models) , ID3265 
" 1,4-Naphtoquinone ", - , - , - , - , ID4027 
" 1,5-Anhydro-D-sorbitol ", - , - , - , Negative ionic mode , PMC10778572 
" 1,5-anhydrofructose ", M. importuna fruiting body , n = 3 , - , - , ID3802 
" 1,5-anhydroglucitol ", - , - , - , - , PMC5621665d 
" 1,5-anhydroglucitol ", Refined grains , - , - , - , PMC8072637 
" 1,5-anhydroglucitol "," soybeans, rice, bread, beef, other plant sources ", - , Plasma , untargeted metabolomics , PMC9259396 
" 1,5-anhydroglucitol-6-phosphate ", - , - , - , - , PMC9259396 
" 1,5-Anhydroglucitol "," Animal protein, Total protein ", - , - , - , PMC10257224 
" 1,5-anhydroglucitol ", diets rich in saturated fatty acids , - , Serum , - , PMC9106625 
" 1,5-anhydro-D-sorbitol ", soy , - , Serum , - , ID207 
" 1,5-Dicaffeoylquinic acid ", - , - , - , LC-MS , PMC9742474 
" 1,6-Anhydroglucose "," Animal protein, Total protein ", - , - , - , PMC10257224 
" 1,6-anhydroglucose ", ultraprocessed food (UPF) , - , Urine , - , PMC11600117 
" 1,6-anhydroglucose ", Food Component/Plant , - , - , - , PMC5621665d 
" 1,6-Di-O-caffeoyl-beta-D-glucose ", 'QYC' pakchoi cultivar , - , - , - , PMC11031806 
" 1,7-bis(hydroxyphenyl)heptane-3,5-diol (a) ", Hazelnuts , - , - , - , ID3750 
" 1,7-bis(hydroxyphenyl)heptane-3,5-diol (b) ", Hazelnuts , - , - , - , ID3750 
" 1,7-bis(hydroxyphenyl)heptane-3,5-diol-O-hexoside ", Hazelnuts , - , - , LC-MS , ID3750 
" 1,7-Dimethylurate ", caffeinated coffee; decaffeinated coffee , - , Serum; Urine , Liquid chromatography–mass spectrometry (LC-MS) , ID1186 
" 1,7-Dimethylurate ", Coffee , - , - , LC-MS , ID927 
" 1,7-dimethylurate ", Caffeinated coffee , - ," Serum, urine ", - , ID958 
" 1,7-dimethylurate ", - , - ," Urine, Plasma ", - , PMC11600117b 
" 1,7-dimethylurate ", - , - , - , - , PMC5621665d 
" 1,7-dimethyluric acid ", Coffee , - , Urine , UPLC-qTOF-MS , ID900 
" 1,7-dimethyluric acid ", Coffee , - , - , - , ID917 
" 1,7-dimethylxanthine ", - , - ," Plasma, Urine ", - , PMC9343475 
 1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE , - , - , Plasma , - , ID2948 
 1-(1-enyl-palmitoyl)-2-oleoyl-GPC , - , - , - , - , PMC5621665b 
 1-(1-enyl-stearoyl)-2-arachidonoyl-GPE , Eggs; Red meat , - , - , - , ID958 
 1-(1-enyl-stearoyl)-2-arachidonoyl-GPE , - , - , - , - , PMC5621665b 
 1-(1-enyl-stearoyl)-2-arachidonoyl-GPE , - , - , - , - , ID2948 
 1-(1-enyl-stearoyl)-2-docosahexaenoyl-GPE , - , - , - , - , PMC5621665b 
 1-(1-enyl-stearoyl)-2-linoleoyl-GPE , - , - , - , - , PMC10262995 
 1-(1-enyl-stearoyl)-2-linoleoyl-GPE , - , - , Plasma , - , PMC10927265 
 1-(1-enyl-stearoyl)-2-oleoyl-GPE , Processed meat , - , - , LIP , ID958 
 1-(1-enyl-stearoyl)-2-oleoyl-GPE , Processed meat , - , - , - , ID958 
 1-(1-enyl-stearoyl)-GPE , - , - , Plasma ," LC-MS/MS, UPLC-MS/MS ", PMC10673339 
" 1-(2,3-dihydro-1h-pyrrolizin-5-yl)-2-propen-1-one ", wine , - , urine , UPLC-QTOF-MS , PMC10673339 
" 1-(2,3-Dihydro-6,7-dimethyl-1H-pyrrolizin-5-yl)-2-hydroxy-1-propanone ", Pork , - , - , OPLS-DA , ID4579 
 1-(2-sulfoglucoside , - , - , urine , UPLC-QTOF-MS , PMC10673339 
" 1-(4-Hydroxyphenyl)-1,2-propanediol ", Genipap juice , - , Urine , - , ID5545 
 1-(6-Methylpyridin-2-yl) heptan-4-one , ogi (cold fermentation with USL) , - , - , GC-HRTOF-MS , ID3110 
 1-(9Z-Octadecenoyl)-2-(9-oxo-nonanoyl)-(sn-glycero-3-phosphocholine) , Sugarcane rind , - , - , - , PMC9480494 
 1-(Methyldithio)acetone ," flaxseeds, raspberry, soy milk ", - , - , - , ID1278 
" 1-, 3-, or 7-Methyluric acid ", Cocoa , - , - , - , ID2022 
 1-16:0-2-18:1-phosphatidylcholine ," elephant garlic, common garlic ", - , - , OPLS-DA , ID2719 
 1-18:1-lysoPE , Salmon , - , Plasma , - , ID5561 
 1-Acetoxypinoresinol , - , - , - , - , ID3265 
 1-Acetoxypinoresinol ," Flaxseed, Pumpkin, Poppy, Sunflower ", - , - , UHPLC-ESI-QTOF-MS , ID3664 
" 1-Acetyl-3,14,20-trihydroxywitha-5,24-dienolide 3-glucoside ", Physalis peruviana (goldenberry) , - , - , - , ID2995 
 1-acyl-sn-glycero-3-phosphocholine , - , - , - , - , PMC11765343 
 1-acylglycerol-3-phosphate O-acyltransferase (ABHD5) , n-3 PUFA , - , - , - , PMC10703801 
 1-amino-cyclohexanecarboxylic acid , Theabrownin from Pu'er tea , - , - , - , ID2311 
 1-Aminocyclopropanecarboxylic acid ," Theabrownin from Pu'er tea, Laminaria japonica ", - , - , - , ID2311 
 1-arachidonoyl-glycerophosphoethanolamine , - , - , Plasma , - , PMC6262854b 
 1-arachidonoyl-GPE , - , - , - , - , ID2963 
 1-arachidonoylglycerol , - , - , Plasma , - , PMC6262854b 
 1-arachidonoylglycerophosphoethanolamine , Seafood , - , - , - , PMC4927065 
" 1-beta-D-Ribofuranosyl-1,4-dihydronicotinamide "," Apples and apple juice, beef, blueberries, broccoli, chicken, coffee, cucumber, grapefruit, peanut butter, pork, tilapia ", - , Urine , - , PMC8708696 
" 1-Butanol, 2-methyl- ", Hazelnut , - , - , - , ID3750 
 1-Butanol , Hazelnuts , - , - , GC×GC-MS/FID , ID3750 
 1-Caffeoylquinic acid , - , - , - , - , ID3974 
 1-Caffeoylquinic acid , Artemisia capillaris (WAC) , - , - , LC-MS , PMC9742474 
 1-carboxyethylisoleucine , - , - , - , - , PMC11600117b 
 1-carboxyethylleucine , - , - , Urine , Untargeted metabolomics , PMC11600117b 
 1-carboxyethylphenylalanine , wine , - , plasma ," LC-MS/MS, UPLC-MS/MS ", PMC10673339 
