Biomarker Name,Food Source,Biological Sample,Analytic Procedure,Literature name
(-)-epicatechin,"apple and pear, stone fruits, berries, banana, chocolate and chocolate products, cakes and pastries, tea, herbal tea, wine, red wine, beer and cider, flavan-3-ol monomers, proanthocyanidins, theaflavins, total flavan-3-ols",urine (24 h),ultra-performance liquid chromatography-tandem mass spectrometry,PMC8624971
(-)-epigallocatechin gallate,decaffeinated green tea; green tea polyphenol; polyphenol E,plasma; prostate tissue; urine,-,PMC4477246
(-)-epigallocatechin gallate,"green tea, green tea extract, GTE, green tea catechins, GTE capsule, dietary supplement",serum,-,PMC9257888
(-)-epigallocatechin-3-gallate,-,-,-,ID371
(-)-epigallocatechin-3-gallate,-,-,-,PMC8634495
(-)-Epigallocatechin,-,-,-,ID3808
(-)-epigallocatechin,-,-,-,ID4123
(-)-epigallocatechin,Dark chocolate/cocoa,-,-,ID728
(-)-epigallocatechin,leaves of V. bellula,-,"thin layer chromatography, high performance liquid chromatography-photodiode array detector",PMC3901255
(-)-epigallocatechin,"Green tea, decaffeinated green tea",plasma,-,PMC4477246
(-)-epigallocatechin,-,-,-,PMC8470844
(-)-epigallocatechin,Flavanols,-,-,PMC5644282
(-)-quinic acid,-,-,-,PMC9343475
(-)-quinic acid,-,-,"differential mobility spectrometry, quadrupole-ion trap instrument",ID1728
(1-Butylheptyl)-benzene,-,-,-,ID4172
(-)-theaflavin,tea (Camellia sinensis L. Kuntze),-,-,ID1387
(1-Ethyldecyl)-benzene,-,-,-,ID4172
(1-Ethylnonyl)-benzene,-,-,-,ID4172
(1-Ethyloctyl)-benzene,-,-,-,ID4172
(1-Methylundecyl)-benzene,-,-,-,ID4172
(1-Propylnonyl)-benzene,-,-,-,ID4172
(1-Propyloctyl)-benzene,-,-,-,ID4172
(14 or 15)-methylpalmitate (a17:0 or i17:0),-,Lipid,-,PMC11600117b
(14 or 15)-methylpalmitate,-,-,-,ID2880
(16 or 17)-methylstearate (a19:0 or i19:0),-,Lipid,-,PMC11600117b
(16 or 17)-methylstearate,-,-,-,ID2880
"(1R,2S,5R,6S)-6-(3,4-dihydroxyphenyl)-2-(3,4-methylenedioxyphenyl)-3,7-dioxabicyclo-[3,3,0]octane",sesame oil,urine,-,ID4131
"(1R,6R)-6-hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate",-,urine,-,ID5545
(1S)-(-)-Camphor,-,-,-,ID4703
"(1S,2S)-3-oxo-2-pentyl-cyclopentanehexanoic acid",-,-,-,ID3546
"(2,4 or 2,5)-dimethylphenol sulfate",-,-,-,PMC11600117b
(2-butoxyethoxy)acetic acid,-,-,-,PMC11600117b
"(2-oxo-2,3-dihydro-1H-indol-3-yl)acetic acid glucuronide",-,-,-,ID917
"(2-oxo-2,3-dihydro-1H-indol-3-yl)acetic acid",-,urine,-,ID5375
"(22E,24R)-Stigmasta-4,22-diene-3,6-dione",-,-,-,PMC10778572
"(23S)-23,25-dihydroxy-24-oxovitamin D3 23-(beta-glucuronide)",-,-,-,PMC10808825
(24R)-24-methylcycloart-25-en-3beta-ol,-,-,-,ID3232
(24S)-isocalysterol,-,-,-,ID3812
(25E)-26-methylstrongylosterol,-,-,-,ID3232
(25R)-5beta-spirostan-3beta-ol,-,-,-,ID3232
(25S/R)-5alpha-spirostanol-3beta-ol,-,-,-,ID4036
(25S/R)-5beta-spirostanol-3beta-ol,-,-,-,ID4036
(25Z)-26-methylstrongylosterol,-,-,-,ID3232
"(2E)-3,7-Dimethylocta-2,6-dien-1-ol",-,-,-,ID4703
"(2E)-3,7-Dimethylocta-2,6-dienal",-,-,-,ID4703
(2R)-3-hydroxyisovaleroylcarnitine,-,-,-,PMC8952012
"(2S,3S,4S,5R,6S)-6-5-[(1E)-2-carboxyeth-1-en-1-yl]-2-hydroxyphenoxy-3,4,5 trihydroxyoxane-2-carboxylate",-,-,-,PMC7298227
"(2S,4S)-monatin",-,-,-,ID2719
"(2Z)-3,7-Dimethylocta-2,6-dienal",-,-,-,ID4703
"(3,4-dihydroxyphenyl) acetate",-,-,ultraviolet ultra-high-performance liquid chromatography,ID1080
"(3'x,5'a,9'x,10'b)-O-(3-hydroxy-6-oxo-7-drimen-11-yl) umbelliferone",asafoetida (obtained from Ferula genus),-,-,ID5422
"(3,4-Dimustardacyl)-fructosyl-alpha-D-(6-mustard acyl) glucoside",-,-,-,PMC11031806
(3-carboxypropyl)trimethylammonium,-,-,-,PMC8952012
(3-Hydroxy-4-methoxyphenyl)ethanone,-,plasma or urine,-,PMC9343475
(3-Mustardacyl)-fructosyl-alpha-D-(6-mustard acyl) glucoside,-,-,-,PMC11031806
"(3R,5'R)-3-hydroxy-beta,百-caroten-6'-one",-,-,-,ID1091
"(3R,5S)-[6]-gingerdiol",Ginger,-,-,PMC9699694
"(3S,5S)-[6]-gingerdiol",Ginger,-,-,PMC9699694
"(3S,7E,9S)-9-hydroxy-4,7-megastigmadien-3-one 9-glucoside","rose petals, Riesling wine, several other alcoholic beverages, sage leaves, raspberry",-,-,ID5422
(5-I-glutamyl)-I-amino acid,-,-,-,PMC8494768
(5r)-5-hydroxyhexanoylcarnitine,-,-,-,ID1493
(5S)-[10]-gingerol,Ginger,-,-,PMC9699694
(5S)-[6]-gingerol,Ginger,-,-,PMC9699694
(5S)-[8]-gingerol,Ginger,-,-,PMC9699694
(6S)-dehydrovomifoliol,-,-,-,ID3546
"(9S,10E,12S,13S)-9,12,13-trihydroxy-10-octadecenoic acid",-,-,-,ID2719
"(9S,10E,12S,13S)-9,12,13-trihydroxy-10-octadecenoic acid",-,-,-,PMC7696221
"(9S,13S)-10,11-dihydro-12-oxo-15-phytoenoic acid",-,-,-,ID3546
"(9xi,10xi,12xi)-9,10-Dihydroxy-12-octadecenoic acid",-,-,-,PMC11979912
(9Z)-12-Oxo-dodec-9-enoate,-,-,-,PMC10302879
(9Z)-12-oxo-dodec-9-enoate,-,-,-,PMC7696221
(b)-catechin,-,-,-,ID1944
(Dodecan-2-yl)benzene,-,-,-,ID4703
"(E)-1-(2,3,6-trimethylphenyl)buta-1,3-diene",diet,urine,-,PMC5571542
"(E)-2,6-dimethyl-3,7-octadiene-2,6-diol","linden honey, chestnut honey",-,-,ID5323
"(E)-2,6-dimethylocta-2,7-diene-1,6-diol",-,-,-,ID1944
"(E)-2,6-dimethylocta-2,7-diene-1,6-diol",Orange Honey,-,Nuclear Magnetic Resonance,ID5323
(E)-2-decenal,-,-,-,ID3750
(E)-2-decenedioic acid,"honey, royal jelly, larval food of the honeybee",-,"1H NMR spectrum, HMBC spectrum, ESI-MS spectrum",ID5323
(E)-2-heptenal,-,-,-,ID3750
(E)-2-methyl-2-pentenoic acid,-,-,-,ID2084
(E)-2-nonenal,-,-,-,ID3750
(E)-2-nonenedioic acid,honey,-,-,ID5323
(E)-9-octadecenoic acid,-,-,-,ID2917
(E)-cinnamic acid,-,-,-,ID1728
(E)-geraniol,-,-,-,ID2084
(E)-p-2-menthen-1-ol,-,-,-,ID3750
"(E,Z)-alpha-Farnesene",orange juice,-,PLS-DA,ID4703
(epi)afzelechin,V. faba,-,-,ID1387
(epi)catechin di-C-glucoside,-,-,-,ID1387
(epi)catechin glucuronide,DRW,-,-,ID4109
(Epi)catechin glucuronide,-,-,-,PMC8634495
(Epi)catechin sulfates,-,-,-,PMC8634495
(epi)catechin quinone,green tea extract,-,MS2,ID2655
(epi)catechin sulfate,almond skin extract,urine,-,ID2536
(epi)catechin sulfate,-,-,PIS,ID4109
(epi)catechins,"cocoa, almond",urine,-,ID4109
(epi)catechin,NEPA,-,-,ID1396
(epi)catechin,"apples, berries, beans, grapes, fruits",-,-,ID466
(epi)catechin,wine,"urine, plasma, serum","UPLC-ESI-MS/MS, HPLC-ESA, GC-MS, UPLC-QTOF-MS",PMC10673339
(epi)catechin每(epi)gallocatechin,-,-,-,ID1387
(epi)gallocatechin dihexoside,-,-,-,ID1387
(epi)gallocatechin hexose,-,-,-,ID1387
(epi)gallocatechin-O-sulfate-diO-methyl,-,-,-,ID2478
(epi)gallocatechin,-,-,-,ID3750
(epi)gallocatechin每(epi)catechin,-,-,-,ID1387
(epi)gallocatechin每(epi)gallocatechin,-,-,-,ID1387
(Glycine) betaine,-,-,-,ID1032
(iso)valerylglycine,-,-,-,ID917
(L)-alpha-Terpineol,-,-,-,ID4703
(n-3) highly unsaturated FA,"marine foods, fish, cod liver oil, marine oil",plasma,-,ID277
(n-3) HUFA,"marine foods, fish and cod liver oil",plasma,-,ID277
(R)-boschniakine,-,-,-,ID2719
(R)-pantoate,-,-,-,PMC10733476
(R)-pantothenic acid,-,-,-,PMC10733476
(R)-thiazoline,-,-,-,PMC10733476
(S)-3-hydroxybutyryl carnitine,-,-,-,PMC11600117b
(S)-3-Hydroxyisobutyric acid,-,-,-,PMC10021015b
(S)-isopiperitenone,-,-,-,ID4703
(S)-pterosin K,-,-,-,ID2719
(Z)-15-oxo-11-eicosenoic acid,-,-,-,PMC7696221
(Z)-3-(1-formyl-1-propenyl)pentanedioic acid,genipap juice,urine,-,ID5545
(Z)-9-octadecenoic acid,-,-,-,ID2917
(Z)-N-Feruloyl-5-hydroxyanthranilic acid,-,-,-,PMC12134907
"(Z,E)-abscisic acid",acacia honey,-,-,ID5323
"(Z,Z)-9,12-octadecadienoic acid",-,-,-,ID2917
(㊣)9(10)-EpOME,-,-,-,PMC11064513
"1,1,5,6-tetramethyl-1,2-dihydranaphthalene",-,urine,-,PMC5571542
"1,1,6-trimethyl-1,2-dihydranaphthalene",-,-,-,PMC5571542
"1,1,6-trimethyl-1,2-dihydronaphthalene",soy-based drink,urine,-,ID1729
"1,1-kestotetraose",-,-,-,PMC5998778b
"1,2'-Disinapoyl-2-feruloylgentiobiose",-,-,-,ID3812
"1,2,2'-Triferuloylgentiobiose",-,-,-,ID3265
"1,2,2'-Triferuloylgentiobiose",-,-,-,ID3427
"1,2,2'-triferuloylgentiobiose",-,-,-,ID3467
"1,2,2'-triferuloylgentiobiose",-,-,-,ID3535
"1,2,3,4,6-penta-O-galloyl-D-glucose",-,-,-,ID3099
"1,2,3,4-tetrahydro-1,5,7-trimethylnaphthalene",-,urine,-,PMC5571542
"1,2,3,4-tetrahydro-beta-carboline-3-carboxylic acid",cod,plasma,-,ID683
"1,2,3,4-tetrahydro-beta-caroline-3-carboxylic acid",Fish,-,-,PMC8634495
"1,2,3,4-tetrahydro-beta-carboline-3-carboxylic acid","cod protein, cocoa products, fruit juices, jams, fermented food products","plasma, urine",metabolomics analysis,PMC6937850c
"1,2,3-benzenetriol sulfate",-,-,-,PMC6262854b
"1,2,3-benzenetriol sulfate","total tea, green tea, black tea",-,-,PMC8072637
"1,2,3-trihydroxybenzene",-,-,-,ID917
"1,2,3-trihydroxybenzene",-,-,-,PMC9343475
"1,2,4-trimethylbenzene",French fries,-,-,PMC7138659
"1,2,4-Tris(methylene)cyclohexane",fruit,-,-,PMC11317665
"1,2-Bis(4-hydroxyphenyl)-2-propanol",-,-,-,ID3546
"1,2-Diferuloylgentibiose",-,-,-,ID3740
"1,2-diferuloylgentiobiose",-,-,-,ID4027
"1,2-diferuloylgentiobiose",-,-,-,ID3667
"1,2-dilinolenoyl-digalactosylglycerol",-,-,-,PMC5998778b
"1,2-dihydroxybenzene",-,-,-,PMC9343475
"1,2-dilinolenoyl-GPA",-,-,-,PMC5998778b
"1,2-dilinolenoyl-galactosylglycerol",-,-,-,PMC5998778b
"1,2-dilinoleoyl-digalactosylglycerol",-,-,-,PMC5998778b
"1,2-dilinolenoyl-GPC",-,-,LC/MS Pos Late,PMC5998778b
"1,2-dilinoleoyl-galactosylglycerol",-,-,-,PMC5998778b
"1,2-dilinoleoyl-GPA",-,-,-,PMC5998778b
"1,2-dilinoleoyl-GPC",-,-,LC/MS Pos Late,PMC5998778b
"1,2-dilinoleoyl-GPE",-,-,LC/MS Pos Late,PMC5998778b
"1,2-dilinoleoyl-GPI",-,-,-,PMC5998778b
"1,2-dioleoyl-GPE",-,-,LC/MS Pos Late,PMC5998778b
"1,2-diOphytanyl-sn-glycerol",-,-,"Quantification by comparing target peak area with internal standard peak area, variation in response accounted for by creating a standardisation curve",ID661
"1,2-dipalmitoyl-GPC",-,-,LC/MS Pos Late,PMC5998778b
"1,2-dipalmitoyl-GPG",-,-,-,PMC5998778b
"1,2-dipalmitoyl-GPE",-,-,LC/MS Pos Late,PMC5998778b
"1,2-Disinapoylgentiobiose",-,-,-,ID3812
"1,2-Disinapoylgentiobiose",-,-,-,ID3980
"1,2-dithiane-4,5-diol",-,-,-,PMC12529599
"1,2-propanediol",insect protein extract,liver,-,PMC7143670b
"1,25 dihydroxyvitamin D3",-,-,-,ID2446
"1,24,25 trihydroxyvitamin D3",-,-,-,ID2446
"1,25 dihydroxyvitamin D",-,serum,in-house RIA using a monoclonal antibody,ID4323
"1,25(OH)2 vitamin D3",-,Serum,radioimmunoassay after chromatographic extraction,ID3212
"1,25(OH)2 vitamin D",-,Serum,Diasorin-RIA,PMC3793329
"1,25(OH)2D2",vitamin D2,-,-,ID529
"1,25(OH)2D3",-,-,-,ID529
"1,25(OH)2D",-,serum,-,ID1105
"1,25-dihidroksivitamin D",-,-,-,ID3935
"1,25-dihydroxy vitamin D",-,-,-,ID3782
"1,25-dihydroxy-vitamin D",-,-,-,ID4543
"1,25-dihydroxyvitamin D3",-,-,-,ID4230
"1,25-dihydroxyvitamin D3",-,serum,radioreceptor assay,ID694
"1,25-dihydroxyvitamin D",-,-,-,ID3771
"1,25-dihydroxyvitamin D",-,-,-,ID529
"1,25-dihydroxyvitamin D",-,Serum,radioimmunoassay,ID4375
"1,25-dihydroxyvitamin D",-,serum,-,PMC12041986
"1,3,4-Trimethylcyclohex-3-ene-1-carbaldehyde",-,-,-,ID4703
"1,3,5-trihydroxybenzene",-,-,-,PMC9343475
"1,3,5-trimethyl benzene",-,-,-,ID2452
"1,3,5-trimethylcyclohexane",beer,-,-,ID2084
"1,3,7-trimethylurate",coffee,-,-,ID1197
"1,3,7-trimethylurate",caffeinated coffee,-,-,ID958
"1,3,7-trimethylurate",-,-,-,PMC11600117b
"1,3,7-trimethylurate",coffee,-,-,PMC4051875
"1,3,7-trimethylurate",-,-,-,PMC8634495
"1,3,7-trimethyluric acid",-,-,-,ID1001
"1,3,7-trimethyluric acid",caffeine,plasma,-,ID2588
"1,3,7-trimethyluric acid",Coffee,Urine,UPLC-qTOF-MS,ID900
"1,3,7-trimethyluric acid",-,Urine,high-performance liquid chromatography-polarity switching electrospray ionization-tandem quadrupole mass spectrometry,PMC10074169
"1,3,7-trimethylxanthine",caffeine,"plasma, urine",-,PMC10317312
"1,3,7-trimethylxanthine",-,-,-,PMC9343475
"1,3-benzoxaxazol-2-one",Whole-grain sourdough rye bread/white-wheat bread with rye bran,Plasma,LC-qTOF-MS,ID900
"1,3-Cyclohexadiene, 1-methyl-4-(1-methylethenyl)-",-,-,-,ID4703
"1,3-Cyclohexadiene,1,3,5,5-tetramethyl-",-,-,-,ID4703
"1,3-Dicaffeoylquinic acid",-,-,-,ID3974
"1,3-dihydrophenyl-2-O-sulphate",-,-,-,ID917
"1,3-dihydroxybenzene",-,-,-,PMC9343475
"1,3-dihydroxyphenyl-2-O-glucuronide",-,-,-,ID971
"1,3-dihydroxyphenyl-2-O-sulfate","black tea, green tea",-,metabolomics,ID1619
"1,3-dihydroxyphenyl-2-O-sulfate",green tea,-,-,ID2103
"1,3-dihydroxyphenyl-2-O-sulfate",polyphenols,urine,-,ID2934
"1,3-dihydroxyphenyl-2-O-sulfate","tea, green-tea, black-tea",urine,-,ID4924
"1,3-dihydroxyphenyl-2-O-sulfate",-,Urine,H NMR spectroscopy,ID855
"1,3-dihydroxyphenyl-2-O-sulfate",Black tea; Black tea/green tea,Urine,1H NMR,ID900
"1,3-dihydroxyphenyl-2-O-sulfate",-,-,-,PMC7145309
"1,3-dihydroxyphenyl-2-O-sulphate",Black tea,urine,-,ID4131
"1,3-Dihydroxyphenyl-2-O-sulphate",-,-,-,ID855
"1,3-dihydroxyphenyl-2-O-sulphate",black tea solids,urine,-,PMC2834771
"1,3-dihydroxyphenyl-O-2-sulfate",tea,-,-,ID1001
"1,3-dimethylurate",-,-,-,ID1186
"1,3-dimethylurate",-,-,-,ID1197
"1,3-dimethylurate",caffeinated coffee,-,-,ID958
"1,3-dimethylurate",-,-,-,PMC8634495
"1,3-dimethylurate",coffee,-,-,PMC9003400
"1,3-dimethyluric acid",-,-,-,ID1001
"1,3-Dimethyluric acid",-,-,-,PMC10021015b
"1,3-dimethyluric acid",Coffee,Urine,UPLC-qTOF-MS,ID900
"1,3-Dimethyluric acid",-,-,-,PMC11475530
"1,3-dimethyluric acid",-,Urine,high-performance liquid chromatography-polarity switching electrospray ionization-tandem quadrupole mass spectrometry,PMC10074169
"1,3-dimethyluric acid",-,-,-,PMC9343475
"1,3-dimethylxanthine",coffee,-,-,ID1001
"1,3-dimethylxanthine",-,Urine,high-performance liquid chromatography-polarity switching electrospray ionization-tandem quadrupole mass spectrometry,PMC10074169
"1,3-dimethylxanthine",-,-,-,PMC12684625b
"1,3-dimethylxanthine",-,-,-,PMC9343475
"1,3-octadiene",soy-based drink,urine (6 h pool),-,ID1729
"1,3-octadiene",-,-,-,PMC11327204
"1,4-benzoxazol-2-one",wheat,human urine,"PMD analysis, PRM analysis",ID245
"1,4-dihydroxy-2(E)-nonene",-,-,-,PMC3046321
"1,4-dihydroxynonane mercapturic acid","hot dog, saucisson",urine (24 h),competitive enzyme immunoassay,PMC3788046
"1,4-dihydroxynonane mercapturic acid",red meat,urine,-,PMC6937850c
"1,4-Naphtoquinone",-,-,-,ID3265
"1,4-naphtoquinone",-,-,-,ID4027
"1,4?methylimidazoleacetic acid",histamine,wastewater,-,ID5544
"1,5,5-Trimethyl-3-methylidenecyclohex-1-ene",-,-,-,ID4703
"1,5-Anhydro-D-sorbitol",higher-protein-fed group,-,-,PMC10778572
"1,5-anhydro-d-sorbitol",New Nordic Diet,-,-,PMC6356665b
"1,5-anhydroglucitol",-,-,-,ID1032
"1,5-anhydroglucitol","total protein, animal protein",-,-,PMC10257224
"1,5-anhydroglucitol",-,-,-,PMC5621665b
"1,5-anhydroglucitol",Carbohydrates and related,-,-,PMC6465680
"1,5-anhydroglucitol",Refined grains,-,-,PMC8072637
"1,5-anhydroglucitol",-,"blood, serum",-,PMC9106625
"1,5-anhydroglucitol","soybeans, rice, bread, beef, and other plant sources",plasma,global untargeted metabolomics analysis,PMC9259396
"1,5-Anhydrosorbitol",-,-,-,ID1032
"1,5-anhydrosorbitol","dairy, soy",serum,-,ID207
"1,5-Dicaffeoylquinic acid",-,-,LC/MS,PMC9742474
"1,6-anhydroglucose",oyster mushrooms,-,-,PMC10257224
"1,6-anhydroglucose",-,-,-,PMC11600117
"1,6-Di-O-caffeoyl-beta-D-glucose",-,-,-,PMC11031806
"1,7-bis(hydroxyphenyl)heptane-3,5-diol-O-hexoside",-,-,-,ID3750
"1,7-bis(hydroxyphenyl)heptane-3,5-diol",hazelnuts,-,-,ID3750
"1,7-dimethylurate",-,-,-,ID1186
"1,7-dimethylurate",coffee,-,-,ID1197
"1,7-dimethylurate",-,-,-,ID958
"1,7-dimethylurate",-,-,-,PMC11600117b
"1,7-dimethylurate",-,-,-,PMC4051875
"1,7-dimethylurate",-,-,-,PMC8634495
"1,7-dimethyluric acid",-,-,-,ID1001
"1,7-dimethyluric acid",Coffee,Urine,UPLC-qTOF-MS,ID900
"1,7-dimethyluric acid",-,-,-,ID917
"1,7-dimethyluric acid",-,Urine,high-performance liquid chromatography-polarity switching electrospray ionization-tandem quadrupole mass spectrometry,PMC10074169
"1,7-dimethylxanthine",-,-,-,ID1001
"1,7-dimethylxanthine",-,-,-,PMC9343475
"1,7-dimethylxanthine",-,Urine,high-performance liquid chromatography-polarity switching electrospray ionization-tandem quadrupole mass spectrometry,PMC10074169
"1,N2-ethenoguanine",-,-,-,PMC2771246
"1,8-cineole",Cardamom seeds,-,"Manual cutting, pixel size 200 米m",ID2354
"1,N6-etheno-2'-deoxyadenosine",-,urine,"HPLC-fluorescence detection, HPLC MS/MS analysis",PMC2771246
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE,-,-,-,PMC10317312
1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1),red and processed meat,-,-,PMC10960708
1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4),-,-,-,PMC11600117b
1-(1-enyl-stearoyl)-2-arachidonoyl-GPE,-,-,-,PMC10317312
1-(1-enyl-stearoyl)-2-linoleoyl-GPE,-,-,-,PMC10262995
1-(1-enyl-stearoyl)-2-linoleoyl-GPE,-,-,-,PMC10927265
1-(1H-pyrrol-2-yl) ethanone,-,urine,-,PMC2899844
"1-(2,3-Dihydro-6,7-dimethyl-1H-pyrrolizin-5-yl)-2-hydroxy-1-propanone",-,-,-,ID4579
1-(2-methylphenyl)-2-propen-1-one,-,-,-,PMC5571542
"1-(3,4-dihydroxyphenyl)-2-hydroxy-3-(2∩,4∩,6∩-trihydroxyphenyl)-1,3-propanedione",-,-,-,ID2655
1-(3-hydroxymethyl)-indolyl-3-indolylmethane,-,-,-,ID1418
"1-(3∩,4∩,5∩-trihydroxyphenyl)-3-(2∩∩,4∩∩,6∩∩-trihydroxyphenyl)propan-2-ol",green tea,-,-,ID2655
"1-(3∩,4∩-dihydroxyphenyl)-3-(2∩∩,4∩∩,6∩∩-trihydroxyphenyl)propan-2-ol",green tea,-,-,ID2655
"1-(3∩,4∩-dihydroxyphenyl)-3-(2∩∩,4∩∩,6∩∩-trihydroxyphenyl)propan-2-ol",-,-,-,ID466
"1-(4-hydroxyphenyl)-1,2-propanediol",genipap; genipap juice,urine,-,ID5545
1-(methyldithio)acetone,"flaxseeds, raspberry, soy milk",-,-,ID1278
1-25 dihydroxyvitamin D3,-,-,-,ID1469
1-Acetoxypinoresinol,-,-,-,ID3265
1-Acetoxypinoresinol,"flax seeds, sesame, pumpkin seeds, poppy seeds, sunflower seeds",-,-,ID3664
1-Acetoxypinoresinol,-,-,-,ID3974
1-acetoxypinoresinol,-,-,-,PMC5644282
"1-Acetyl-3,14,20-trihydroxywitha-5,24-dienolide 3-glucoside","fruits, specifically P. peruviana",-,-,ID2995
